访客ID,事件名称,事件时间
3,usr_data_goon_game,2023/5/10 20:40
3,usr_data_ad,2023/5/10 20:40
3,SDK监控广告关闭,2023/5/10 20:40
3,SDK监控游戏请求展示广告,2023/5/10 20:41
3,Max实时收益,2023/5/10 20:41
3,show成功,2023/5/10 20:41
3,SDK监控广告关闭,2023/5/10 20:42
3,usr_data_ad,2023/5/10 20:42
3,usr_data_game_end,2023/5/10 20:42
3,gameid9,2023/5/10 20:42
3,usr_data_game_die,2023/5/10 20:42
3,SDK监控游戏请求展示广告,2023/5/10 20:42
3,Max实时收益,2023/5/10 20:42
3,show成功,2023/5/10 20:42
3,SDK监控广告被点击,2023/5/10 20:43
3,开启应用,2023/5/10 20:43
3,updateflow,2023/5/10 20:43
3,s_moudle_data_af_conversion_success,2023/5/10 20:43
3,关闭应用,2023/5/10 20:43
3,开启应用,2023/5/10 20:43
3,updateflow,2023/5/10 20:43
3,s_moudle_data_af_conversion_success,2023/5/10 20:43
3,广告SDK初始化结果,2023/5/10 20:43
3,updateflow,2023/5/10 20:43
3,updateflow,2023/5/10 20:43
3,usr_data_type,2023/5/10 20:43
3,travelBtn,2023/5/10 20:44
3,usr_data_game_start,2023/5/10 20:44
3,SDK监控游戏请求展示广告,2023/5/10 20:46
3,Max实时收益,2023/5/10 20:46
3,show成功,2023/5/10 20:46
3,SDK监控广告关闭,2023/5/10 20:46
3,usr_data_ad,2023/5/10 20:46
3,SDK监控游戏请求展示广告,2023/5/10 20:47
3,Max实时收益,2023/5/10 20:47
3,show成功,2023/5/10 20:47
3,SDK监控广告关闭,2023/5/10 20:47
3,usr_data_ad,2023/5/10 20:47
3,usr_data_game_end,2023/5/10 20:48
3,gameid10,2023/5/10 20:48
3,usr_data_game_die,2023/5/10 20:48
3,SDK监控游戏请求展示广告,2023/5/10 20:48
3,Max实时收益,2023/5/10 20:48
3,show成功,2023/5/10 20:48
3,关闭应用,2023/5/10 20:48
3,开启应用,2023/5/10 21:31
3,updateflow,2023/5/10 21:31
3,s_moudle_data_af_conversion_success,2023/5/10 21:31
3,关闭应用,2023/5/10 21:31
3,开启应用,2023/5/10 21:31
3,updateflow,2023/5/10 21:31
3,s_moudle_data_af_conversion_success,2023/5/10 21:31
3,广告SDK初始化结果,2023/5/10 21:32
3,updateflow,2023/5/10 21:32
3,updateflow,2023/5/10 21:32
3,usr_data_type,2023/5/10 21:32
3,travelBtn,2023/5/10 21:32
3,usr_data_game_start,2023/5/10 21:32
3,关闭应用,2023/5/10 21:34
4,安装应用,2023/5/10 14:40
4,开启应用,2023/5/10 14:40
4,updateflow,2023/5/10 14:40
4,updateflow,2023/5/10 14:40
4,s_moudle_data_af_deeplink,2023/5/10 14:40
4,updateflow,2023/5/10 14:40
4,usr_data_install,2023/5/10 14:40
4,updateflow,2023/5/10 14:40
4,usr_data_AB,2023/5/10 14:40
4,usr_data_type,2023/5/10 14:40
4,usr_data_guide_1_start,2023/5/10 14:40
4,广告SDK初始化结果,2023/5/10 14:40
4,s_moudle_data_af_conversion_success,2023/5/10 14:40
4,usr_data_guide_1_end,2023/5/10 14:40
4,usr_data_guide_2_start,2023/5/10 14:40
4,usr_data_guide_2_end,2023/5/10 14:40
4,usr_data_guide_3_start,2023/5/10 14:40
4,usr_data_guide_3_end,2023/5/10 14:40
4,usr_data_game_start,2023/5/10 14:40
4,usr_data_game_end,2023/5/10 14:43
4,gameid1,2023/5/10 14:43
4,usr_data_game_die,2023/5/10 14:43
4,topsocre1000,2023/5/10 14:43
4,usr_data_topscore,2023/5/10 14:43
4,关闭应用,2023/5/10 14:44
4,开启应用,2023/5/10 22:49
4,updateflow,2023/5/10 22:49
4,updateflow,2023/5/10 22:49
4,updateflow,2023/5/10 22:49
4,s_moudle_data_af_conversion_success,2023/5/10 22:49
4,usr_data_type,2023/5/10 22:49
4,广告SDK初始化结果,2023/5/10 22:49
4,travelBtn,2023/5/10 22:49
